Date,Open,High,Low,Close,Adj Close,Volume
18-02-20,2209.899902,2221.350098,2186.75,2215.300049,2138.962891,96139
19-02-20,2215,2228.850098,2190.100098,2194.600098,2118.976318,58248
20-02-20,2215,2215,2152.050049,2156.300049,2081.995605,186124
24-02-20,2157,2178.949951,2106.649902,2116.300049,2043.37439,80671
25-02-20,2117,2176,2111.050049,2155.899902,2081.609863,52702
26-02-20,2156,2163.600098,2113.100098,2123.050049,2049.891602,51900
27-02-20,2140,2140,2086.850098,2103.899902,2031.401611,83108
28-02-20,2080,2080,1990.400024,2000.949951,1931.999023,135017
02-03-20,2025.099976,2054.600098,1985.699951,1999.900024,1930.985352,103572
03-03-20,2004,2060,2004,2038.900024,1968.641479,68762
04-03-20,2045.5,2093,2026,2083.149902,2011.366577,83356
05-03-20,2085,2147,2085,2124.899902,2051.677734,73872
06-03-20,2125,2125,2073,2117.899902,2044.919067,55592
09-03-20,2080,2080.050049,1936,1972.199951,1904.239746,196607
11-03-20,1955,1988.349976,1923.599976,1954.550049,1887.19812,461132
12-03-20,1915,1915,1759.199951,1769.849976,1708.862671,519323
13-03-20,1690.650024,1819,1504.400024,1807.300049,1745.022095,364701
16-03-20,1769,1843.349976,1677,1698.050049,1639.536987,225552
17-03-20,1725,1731,1623,1658.199951,1601.059937,239263
18-03-20,1688,1712.349976,1628,1650.949951,1594.059814,204763
19-03-20,1581,1685.75,1547.300049,1636.099976,1579.721558,244595
20-03-20,1637,1867.949951,1627,1798,1736.042603,330779
23-03-20,1648.199951,1742.550049,1620,1662.650024,1605.356689,173724
24-03-20,1740,1767.599976,1652.050049,1702.849976,1644.171387,156649
25-03-20,1700,1810,1681,1752.199951,1691.820801,104880
26-03-20,1815,1880.900024,1723,1806.699951,1744.442871,143192
27-03-20,1839,1850,1752,1818.599976,1755.932739,197136
30-03-20,1769,1907,1763.349976,1776.150024,1714.945557,1324734
31-03-20,1826,1856,1780,1823.050049,1760.229492,133416
01-04-20,1830,1834,1702.25,1709.550049,1650.640503,212968
03-04-20,1731.300049,1740,1650,1654.400024,1597.390991,170043
07-04-20,1703.300049,1785,1703.300049,1775.050049,1713.883423,167673
08-04-20,1760,1805,1701,1705.599976,1646.826538,159832
09-04-20,1745,1778.449951,1733,1765.900024,1705.048828,126479
13-04-20,1769.800049,1786,1747,1758.400024,1697.807373,72307
15-04-20,1770,1812.25,1728.900024,1734.449951,1674.682373,150148
16-04-20,1701,1762.900024,1677.599976,1715.599976,1656.482056,240124
17-04-20,1800,1851.849976,1752.800049,1806.800049,1744.539551,309427
20-04-20,1827,1829,1803,1818.800049,1756.125977,101688
21-04-20,1775,1794,1728.75,1737.25,1677.386108,149222
22-04-20,1746,1789.099976,1720.349976,1771.199951,1710.166138,103696
