Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,2201.0,2226.399902,2188.300049,2200.149902,2124.334961,84845.0
2020-07-01,2201.0,2214.800049,2184.0,2205.149902,2129.162598,44109.0
2020-08-01,2200.0,2259.949951,2200.0,2255.050049,2177.343018,109402.0
2020-09-01,2251.050049,2251.050049,2210.449951,2216.0,2139.638916,102267.0
2020-10-01,2216.0,2233.0,2208.0,2213.850098,2137.563232,118682.0
2020-01-13,2221.0,2221.0,2185.199951,2191.0,2115.5002440000003,109319.0
2020-01-14,2199.0,2229.75,2198.75,2207.199951,2131.141846,121577.0
2020-01-15,2219.0,2231.550049,2195.0,2226.550049,2149.825439,52151.0
2020-01-16,2225.0,2248.949951,2220.399902,2238.399902,2161.266602,61468.0
2020-01-17,2242.0,2254.199951,2213.050049,2218.050049,2141.618408,71372.0
2020-01-20,2194.0,2241.649902,2156.699951,2170.25,2095.465332,214236.0
2020-01-21,2174.949951,2185.0,2160.0,2171.449951,2096.623779,43940.0
2020-01-22,2175.5,2210.100098,2175.5,2206.5,2130.466064,90713.0
2020-01-23,2206.5,2217.199951,2182.399902,2193.449951,2117.865723,125220.0
2020-01-24,2193.449951,2193.449951,2170.600098,2184.600098,2109.3208010000003,84902.0
2020-01-27,2180.0,2193.449951,2165.0,2168.649902,2093.920166,69104.0
2020-01-28,2172.300049,2187.149902,2153.0,2184.050049,2108.790039,158542.0
2020-01-29,2187.25,2187.600098,2148.649902,2152.699951,2078.519775,179971.0
2020-01-30,2161.0,2165.449951,2125.5,2138.050049,2064.375,78850.0
2020-01-31,2140.0,2145.0,2072.399902,2079.300049,2007.6492920000003,116613.0
2020-03-02,2164.0,2193.949951,2093.75,2103.149902,2030.6772460000002,162662.0
2020-04-02,2134.899902,2137.550049,2087.949951,2107.699951,2035.070679,116533.0
2020-05-02,2125.0,2158.0,2105.75,2145.25,2071.326904,115764.0
2020-06-02,2155.0,2174.25,2116.0,2128.699951,2055.346924,541706.0
2020-07-02,2142.0,2150.600098,2119.0,2136.699951,2063.071289,73624.0
2020-10-02,2136.699951,2166.949951,2119.800049,2162.350098,2087.837646,72009.0
2020-11-02,2164.899902,2174.0,2147.0,2151.649902,2077.506104,48006.0
2020-12-02,2157.0,2184.800049,2152.0,2170.5,2095.706543,75247.0
2020-02-13,2170.0,2197.0,2169.949951,2191.600098,2116.07959,73682.0
2020-02-14,2181.0,2211.550049,2170.949951,2183.800049,2108.54834,58034.0
2020-02-17,2199.899902,2216.149902,2190.0,2203.25,2127.328125,77670.0
2020-02-18,2209.899902,2221.350098,2186.75,2215.300049,2138.962891,96139.0
2020-02-19,2215.0,2228.850098,2190.100098,2194.600098,2118.976318,58248.0
2020-02-20,2215.0,2215.0,2152.050049,2156.300049,2081.995605,186124.0
2020-02-24,2157.0,2178.949951,2106.649902,2116.300049,2043.37439,80671.0
2020-02-25,2117.0,2176.0,2111.050049,2155.899902,2081.6098629999997,52702.0
2020-02-26,2156.0,2163.600098,2113.100098,2123.050049,2049.891602,51900.0
2020-02-27,2140.0,2140.0,2086.850098,2103.899902,2031.401611,83108.0
2020-02-28,2080.0,2080.0,1990.4000239999998,2000.949951,1931.999023,135017.0
2020-02-03,2025.0999760000002,2054.600098,1985.699951,1999.9000239999998,1930.985352,103572.0
2020-03-03,2004.0,2060.0,2004.0,2038.9000239999998,1968.641479,68762.0
2020-04-03,2045.5,2093.0,2026.0,2083.149902,2011.366577,83356.0
2020-05-03,2085.0,2147.0,2085.0,2124.899902,2051.677734,73872.0
2020-06-03,2125.0,2125.0,2073.0,2117.899902,2044.9190670000003,55592.0
2020-09-03,2080.0,2080.050049,1936.0,1972.199951,1904.2397460000002,196607.0
2020-11-03,1955.0,1988.3499760000002,1923.5999760000002,1954.550049,1887.19812,461132.0
2020-12-03,1915.0,1915.0,1759.199951,1769.8499760000002,1708.862671,519323.0
2020-03-13,1690.6500239999998,1819.0,1504.400024,1807.300049,1745.022095,364701.0
2020-03-16,1769.0,1843.3499760000002,1677.0,1698.050049,1639.536987,225552.0
2020-03-17,1725.0,1731.0,1623.0,1658.199951,1601.059937,239263.0
